structure, operation, time(ns)
avl, delete, 11957299
splay, put, 641123
splay, delete, 778013
veb, put, 6066113
veb, delete, 21632
bst, put, 308466
bst, delete, 247287
avl, put, 40513946
avl, delete, 13747756
splay, put, 623551
splay, delete, 902937
veb, put, 5606179
veb, delete, 18899
bst, put, 327133
bst, delete, 170583
avl, put, 39192789
avl, delete, 16177983
splay, put, 731062
splay, delete, 816107
veb, put, 5606555
veb, delete, 36583
bst, put, 312050
bst, delete, 283802
avl, put, 37808593
avl, delete, 9582960
splay, put, 618813
splay, delete, 774689
veb, put, 5270528
veb, delete, 16094
bst, put, 293249
bst, delete, 166032
avl, put, 38438443
avl, delete, 12680636
splay, put, 705677
splay, delete, 906739
veb, put, 5539447
veb, delete, 21577
bst, put, 253120
bst, delete, 239617
avl, put, 37401074
avl, delete, 12250264
splay, put, 652612
splay, delete, 768815
veb, put, 5461544
veb, delete, 31362
bst, put, 319398
bst, delete, 219588
avl, put, 37698244
avl, delete, 13047407
splay, put, 614702
splay, delete, 776261
veb, put, 5588941
veb, delete, 15980
bst, put, 293049
bst, delete, 138945
avl, put, 38635791
avl, delete, 14100216
splay, put, 736276
splay, delete, 810395
veb, put, 5280165
veb, delete, 18528
bst, put, 313709
bst, delete, 281703
avl, put, 37995159
avl, delete, 8522803
splay, put, 621445
splay, delete, 776189
veb, put, 5420597
veb, delete, 27175
bst, put, 249616
bst, delete, 195762
avl, put, 37599159
avl, delete, 12252236
splay, put, 619123
splay, delete, 770416
veb, put, 5263399
veb, delete, 15563
bst, put, 276032
bst, delete, 221981
avl, put, 38468915
avl, delete, 16402287
splay, put, 610980
splay, delete, 769992
veb, put, 5598228
veb, delete, 15799
bst, put, 267252
bst, delete, 270024
avl, put, 37580707
avl, delete, 11069218
splay, put, 714816
splay, delete, 763116
veb, put, 5264071
veb, delete, 16005
bst, put, 249297
bst, delete, 231370
avl, put, 38101563
avl, delete, 15409523
splay, put, 742795
splay, delete, 810619
veb, put, 5311612
veb, delete, 31828
bst, put, 301504
bst, delete, 199933
avl, put, 38580886
avl, delete, 9594877
splay, put, 681942
splay, delete, 862944
veb, put, 5522450
veb, delete, 25490
bst, put, 284224
bst, delete, 240606
avl, put, 37970223
avl, delete, 15999033
splay, put, 626789
splay, delete, 908153
veb, put, 5450483
veb, delete, 15689
bst, put, 256040
bst, delete, 195328
avl, put, 38007518
avl, delete, 11261533
splay, put, 613547
splay, delete, 872254
veb, put, 5716363
veb, delete, 16007
bst, put, 261514
bst, delete, 190193
avl, put, 38884393
avl, delete, 12125366
splay, put, 655162
splay, delete, 897452
veb, put, 5769517
veb, delete, 25908
bst, put, 305631
bst, delete, 172221
avl, put, 40642745
avl, delete, 15795218
splay, put, 637220
splay, delete, 776238
veb, put, 5294101
veb, delete, 21163
bst, put, 313949
bst, delete, 236911
avl, put, 39482748
avl, delete, 17142323
splay, put, 686521
splay, delete, 774015
veb, put, 5531312
veb, delete, 26053
bst, put, 311931
bst, delete, 258524
avl, put, 38437162
avl, delete, 10045538
splay, put, 734910
splay, delete, 769608
veb, put, 5428020
veb, delete, 15787
bst, put, 268563
bst, delete, 235219
avl, put, 38100090
avl, delete, 9360951
splay, put, 732542
splay, delete, 896888
veb, put, 5715150
veb, delete, 18586
bst, put, 292898
bst, delete, 82678
avl, put, 38297573
avl, delete, 14910401
splay, put, 620689
splay, delete, 773396
veb, put, 5483386
veb, delete, 15976
bst, put, 256631
bst, delete, 154431
avl, put, 37725401
avl, delete, 14534337
splay, put, 741542
splay, delete, 781040
veb, put, 5437527
veb, delete, 15945
bst, put, 275660
bst, delete, 74860
avl, put, 37818319
avl, delete, 10838071
splay, put, 617558
splay, delete, 895127
veb, put, 5477929
veb, delete, 15854
bst, put, 268484
bst, delete, 190437
avl, put, 39288928
avl, delete, 13647048
splay, put, 681822
splay, delete, 756083
veb, put, 5250075
veb, delete, 21385
bst, put, 266784
bst, delete, 147968
avl, put, 38713956
avl, delete, 15177819
splay, put, 644350
splay, delete, 769053
veb, put, 5255456
veb, delete, 26844
bst, put, 254848
bst, delete, 176735
avl, put, 37551456
avl, delete, 15644929
splay, put, 706732
splay, delete, 758200
veb, put, 5552237
veb, delete, 18541
bst, put, 284001
bst, delete, 166955
avl, put, 37578492
avl, delete, 13847642
splay, put, 643800
splay, delete, 799958
veb, put, 5449301
veb, delete, 21732
bst, put, 258657
bst, delete, 175352
avl, put, 38470824
avl, delete, 17204005
splay, put, 640118
splay, delete, 763973
veb, put, 5591173
veb, delete, 15959
bst, put, 280577
bst, delete, 123579
avl, put, 39284480
avl, delete, 10322955
splay, put, 617377
splay, delete, 757060
veb, put, 5261438
veb, delete, 21725
bst, put, 250588
bst, delete, 276164
avl, put, 37599149
avl, delete, 12825960
splay, put, 619442
splay, delete, 801557
veb, put, 5341064
veb, delete, 32423
bst, put, 275847
bst, delete, 173839
avl, put, 38370314
avl, delete, 13206383
splay, put, 686419
splay, delete, 858895
veb, put, 5380424
veb, delete, 18761
bst, put, 316334
bst, delete, 259020
avl, put, 39469272
avl, delete, 8909318
splay, put, 701120
splay, delete, 911930
veb, put, 5721336
veb, delete, 19279
bst, put, 322214
bst, delete, 178701
avl, put, 39932402
avl, delete, 11394540
splay, put, 733970
splay, delete, 916386
veb, put, 6041065
veb, delete, 25681
bst, put, 305585
bst, delete, 257946
avl, put, 39415174
avl, delete, 8118625
splay, put, 748703
splay, delete, 817364
veb, put, 5766864
veb, delete, 21302
bst, put, 254117
bst, delete, 142736
avl, put, 38357159
avl, delete, 16606792
splay, put, 736720
splay, delete, 910421
veb, put, 6046916
veb, delete, 38586
bst, put, 292575
bst, delete, 238391
avl, put, 40065195
avl, delete, 9659500
splay, put, 623434
splay, delete, 765009
veb, put, 5447864
veb, delete, 15613
bst, put, 283466
bst, delete, 305074
avl, put, 38765314
avl, delete, 13712076
splay, put, 730223
splay, delete, 778585
veb, put, 5343230
veb, delete, 19147
bst, put, 294368
bst, delete, 183810
avl, put, 37833322
avl, delete, 15814350
splay, put, 715288
splay, delete, 769977
veb, put, 5262795
veb, delete, 15995
bst, put, 248950
bst, delete, 203138
avl, put, 38777261
avl, delete, 9311694
splay, put, 642711
splay, delete, 838637
veb, put, 5366430
veb, delete, 19408
bst, put, 307973
bst, delete, 176051
avl, put, 38170349
avl, delete, 14654302
splay, put, 614782
splay, delete, 766213
veb, put, 5423672
veb, delete, 15732
bst, put, 267046
bst, delete, 198796
avl, put, 38219862
avl, delete, 11748777
splay, put, 622222
splay, delete, 765404
veb, put, 5282668
veb, delete, 25608
bst, put, 303930
bst, delete, 201868
avl, put, 38195235
avl, delete, 12609275
splay, put, 620706
splay, delete, 763899
veb, put, 5256742
veb, delete, 15913
bst, put, 279369
bst, delete, 291624
avl, put, 38853768
avl, delete, 14818888
splay, put, 610874
splay, delete, 781294
veb, put, 5614960
veb, delete, 15966
bst, put, 266373
bst, delete, 144324
avl, put, 37811248
avl, delete, 6654473
splay, put, 721831
splay, delete, 843745
veb, put, 5582748
veb, delete, 15812
bst, put, 250550
bst, delete, 271870
avl, put, 38235738
avl, delete, 12550648
splay, put, 716756
splay, delete, 844824
veb, put, 5449324
veb, delete, 16150
bst, put, 248830
bst, delete, 125748
avl, put, 37683301
avl, delete, 15587418
splay, put, 690764
splay, delete, 795069
veb, put, 5344093
veb, delete, 19060
bst, put, 293219
bst, delete, 114229
avl, put, 37055622
avl, delete, 16111661
splay, put, 635124
splay, delete, 777426
veb, put, 5256759
veb, delete, 26685
bst, put, 274418
bst, delete, 158680
avl, put, 37808841
avl, delete, 12713742
splay, put, 611722
splay, delete, 750124
veb, put, 5466710
veb, delete, 25264
bst, put, 301765
bst, delete, 150330
avl, put, 38954253
avl, delete, 15587357
splay, put, 631381
splay, delete, 763517
veb, put, 5907476
veb, delete, 27090
bst, put, 294077
bst, delete, 119223
avl, put, 38335899
avl, delete, 11152298
splay, put, 744543
splay, delete, 921926
veb, put, 6111168
veb, delete, 32802
bst, put, 285476
bst, delete, 140644
avl, put, 38801596
avl, delete, 13780494
splay, put, 739605
splay, delete, 913211
veb, put, 5281200
veb, delete, 18625
bst, put, 286594
bst, delete, 151508
avl, put, 37227104
avl, delete, 16011378
splay, put, 627683
splay, delete, 764066
