structure, size, time(ns)
veb, 2^6, 1462521
veb, 2^7, 1590496
veb, 2^8, 1606118
veb, 2^9, 1808196
bst, 2^6, 65653
bst, 2^7, 75269
bst, 2^8, 89054
bst, 2^9, 103208
avl, 2^6, 61721
avl, 2^7, 69552
avl, 2^8, 80464
avl, 2^9, 93027
splay, 2^6, 299433
splay, 2^7, 353662
splay, 2^8, 389464
splay, 2^9, 416805
veb, 2^6, 1713670
veb, 2^7, 1790027
veb, 2^8, 1817681
veb, 2^9, 1863977
bst, 2^6, 55842
bst, 2^7, 63531
bst, 2^8, 74716
bst, 2^9, 85110
avl, 2^6, 51719
avl, 2^7, 58731
avl, 2^8, 67366
avl, 2^9, 77854
splay, 2^6, 250557
splay, 2^7, 293645
splay, 2^8, 331054
splay, 2^9, 390142
veb, 2^6, 1543746
veb, 2^7, 1701844
veb, 2^8, 1590489
veb, 2^9, 1777117
bst, 2^6, 56239
bst, 2^7, 65588
bst, 2^8, 94960
bst, 2^9, 101108
avl, 2^6, 61335
avl, 2^7, 69326
avl, 2^8, 74676
avl, 2^9, 92432
splay, 2^6, 302179
splay, 2^7, 294028
splay, 2^8, 330510
splay, 2^9, 352191
veb, 2^6, 1444429
veb, 2^7, 1763471
veb, 2^8, 1763124
veb, 2^9, 1864457
bst, 2^6, 55724
bst, 2^7, 63243
bst, 2^8, 74002
bst, 2^9, 85313
avl, 2^6, 49923
avl, 2^7, 75845
avl, 2^8, 79246
avl, 2^9, 76932
splay, 2^6, 266511
splay, 2^7, 352931
splay, 2^8, 393058
splay, 2^9, 357249
veb, 2^6, 1621359
veb, 2^7, 1519433
veb, 2^8, 1593382
veb, 2^9, 1862771
bst, 2^6, 55197
bst, 2^7, 64116
bst, 2^8, 75387
bst, 2^9, 85222
avl, 2^6, 50172
avl, 2^7, 58285
avl, 2^8, 80468
avl, 2^9, 77698
splay, 2^6, 250220
splay, 2^7, 295256
splay, 2^8, 378362
splay, 2^9, 411615
veb, 2^6, 1444532
veb, 2^7, 1501929
veb, 2^8, 1855839
veb, 2^9, 2006238
bst, 2^6, 65715
bst, 2^7, 79798
bst, 2^8, 88408
bst, 2^9, 103052
avl, 2^6, 65865
avl, 2^7, 70192
avl, 2^8, 79970
avl, 2^9, 77546
splay, 2^6, 250051
splay, 2^7, 295074
splay, 2^8, 332039
splay, 2^9, 370467
veb, 2^6, 1634777
veb, 2^7, 1527241
veb, 2^8, 1761429
veb, 2^9, 1692561
bst, 2^6, 55068
bst, 2^7, 63765
bst, 2^8, 74582
bst, 2^9, 86935
avl, 2^6, 51581
avl, 2^7, 61159
avl, 2^8, 80236
avl, 2^9, 78066
splay, 2^6, 249199
splay, 2^7, 293620
splay, 2^8, 330103
splay, 2^9, 349164
veb, 2^6, 1619306
veb, 2^7, 1497535
veb, 2^8, 1608003
veb, 2^9, 1724848
bst, 2^6, 55520
bst, 2^7, 63250
bst, 2^8, 74439
bst, 2^9, 86758
avl, 2^6, 51664
avl, 2^7, 58809
avl, 2^8, 72008
avl, 2^9, 77821
splay, 2^6, 248212
splay, 2^7, 292101
splay, 2^8, 404790
splay, 2^9, 410592
veb, 2^6, 1460075
veb, 2^7, 1625927
veb, 2^8, 1763477
veb, 2^9, 1693936
bst, 2^6, 55021
bst, 2^7, 64275
bst, 2^8, 74168
bst, 2^9, 90669
avl, 2^6, 51113
avl, 2^7, 69337
avl, 2^8, 81668
avl, 2^9, 78230
splay, 2^6, 248103
splay, 2^7, 292144
splay, 2^8, 331043
splay, 2^9, 352033
veb, 2^6, 1632730
veb, 2^7, 1564800
veb, 2^8, 1592307
veb, 2^9, 1815358
bst, 2^6, 55943
bst, 2^7, 65818
bst, 2^8, 73035
bst, 2^9, 84605
avl, 2^6, 52527
avl, 2^7, 59430
avl, 2^8, 71673
avl, 2^9, 92445
splay, 2^6, 302667
splay, 2^7, 346450
splay, 2^8, 358028
splay, 2^9, 351246
veb, 2^6, 1447485
veb, 2^7, 1520271
veb, 2^8, 1598130
veb, 2^9, 1812164
bst, 2^6, 67028
bst, 2^7, 79221
bst, 2^8, 87686
bst, 2^9, 93578
avl, 2^6, 51511
avl, 2^7, 58896
avl, 2^8, 67812
avl, 2^9, 77937
splay, 2^6, 257225
splay, 2^7, 293008
splay, 2^8, 330960
splay, 2^9, 409922
veb, 2^6, 1686782
veb, 2^7, 1501890
veb, 2^8, 1763169
veb, 2^9, 1738131
bst, 2^6, 65315
bst, 2^7, 75970
bst, 2^8, 87694
bst, 2^9, 101808
avl, 2^6, 61144
avl, 2^7, 66616
avl, 2^8, 68153
avl, 2^9, 77628
splay, 2^6, 247175
splay, 2^7, 292029
splay, 2^8, 329358
splay, 2^9, 349215
veb, 2^6, 1613572
veb, 2^7, 1511524
veb, 2^8, 1757230
veb, 2^9, 1838156
bst, 2^6, 54804
bst, 2^7, 63933
bst, 2^8, 74286
bst, 2^9, 85962
avl, 2^6, 50143
avl, 2^7, 61752
avl, 2^8, 80408
avl, 2^9, 78396
splay, 2^6, 247609
splay, 2^7, 301235
splay, 2^8, 329560
splay, 2^9, 369606
veb, 2^6, 1705146
veb, 2^7, 1504738
veb, 2^8, 1597209
veb, 2^9, 1704893
bst, 2^6, 53635
bst, 2^7, 63718
bst, 2^8, 74014
bst, 2^9, 85298
