structure, operation, time(ns)
avl, put, 1468936
avl, delete, 1317204
splay, put, 11613
splay, delete, 39989
veb, put, 1279549
veb, delete, 2064139
bst, put, 1126117
bst, delete, 4635
avl, put, 1335851
avl, delete, 1459398
splay, put, 13563
splay, delete, 47214
veb, put, 1265080
veb, delete, 1840291
bst, put, 1179496
bst, delete, 5509
avl, put, 1568630
avl, delete, 1488801
splay, put, 11504
splay, delete, 34880
veb, put, 1265431
veb, delete, 2089504
bst, put, 1187293
bst, delete, 5580
avl, put, 1434180
avl, delete, 1507467
splay, put, 14069
splay, delete, 43194
veb, put, 1443440
veb, delete, 2086211
bst, put, 1036246
bst, delete, 4684
avl, put, 1459803
avl, delete, 1278827
splay, put, 11525
splay, delete, 35768
veb, put, 1272054
veb, delete, 1908271
bst, put, 1159126
bst, delete, 4674
avl, put, 1304215
avl, delete, 1280629
splay, put, 11386
splay, delete, 35569
veb, put, 1346704
veb, delete, 2095505
bst, put, 1046898
bst, delete, 4707
avl, put, 1327595
avl, delete, 1479207
splay, put, 11360
splay, delete, 36617
veb, put, 1430635
veb, delete, 1842933
bst, put, 1156849
bst, delete, 5551
avl, put, 1402097
avl, delete, 1439869
splay, put, 13509
splay, delete, 43404
veb, put, 1336473
veb, delete, 2014497
bst, put, 1123321
bst, delete, 5521
avl, put, 1408297
avl, delete, 1465355
splay, put, 14125
splay, delete, 42793
veb, put, 1285562
veb, delete, 1899232
bst, put, 1192702
bst, delete, 5391
avl, put, 1448646
avl, delete, 1326920
splay, put, 11443
splay, delete, 35359
veb, put, 1269629
veb, delete, 2099605
bst, put, 1144672
bst, delete, 4453
avl, put, 1326876
avl, delete, 1355364
splay, put, 13773
splay, delete, 41988
veb, put, 1385168
veb, delete, 1846183
bst, put, 1037279
bst, delete, 4524
avl, put, 1461605
avl, delete, 1299775
splay, put, 11543
splay, delete, 34700
veb, put, 1265914
veb, delete, 1933953
bst, put, 1114172
bst, delete, 4516
avl, put, 1310642
avl, delete, 1283788
splay, put, 11291
splay, delete, 35720
veb, put, 1368727
veb, delete, 1917524
bst, put, 1018805
bst, delete, 4442
avl, put, 1522946
avl, delete, 1550855
splay, put, 13363
splay, delete, 42086
veb, put, 1503224
veb, delete, 1987630
bst, put, 1230739
bst, delete, 4656
avl, put, 1301303
avl, delete, 1449203
splay, put, 11459
splay, delete, 35117
veb, put, 1385280
veb, delete, 1894242
bst, put, 1022742
bst, delete, 4482
avl, put, 1333200
avl, delete, 1479898
splay, put, 11351
splay, delete, 35318
